Pair,Condtion,Game,Time,Time2,Time3
8,normal,7,48767.0,1238420604333.0,1238420653100.0
8,normal,8,27975.0,1238420658125.0,1238420686100.0
8,normal,9,20934.0,1238420691166.0,1238420712100.0
8,normal,10,22900.0,1238420717200.0,1238420740100.0
8,normal,11,16499.0,1238420745500.0,1238420761999.0
8,normal,12,19767.0,1238420766333.0,1238420786100.0
8,normal,13,12975.0,1238420791125.0,1238420804100.0
8,normal,14,10899.0,1238420809100.0,1238420819999.0
8,normal,15,8900.0,1238420824200.0,1238420833100.0
8,normal,16,24767.0,1238420838333.0,1238420863100.0
8,normal,17,11857.0,1238420868142.0,1238420879999.0
8,normal,18,27850.0,1238420884250.0,1238420912100.0
8,normal,19,23900.0,1238420917200.0,1238420941100.0
8,normal,20,28989.0,1238420947111.0,1238420976100.0
8,normal,21,5900.0,1238420981200.0,1238420987100.0
8,normal,22,8975.0,1238420992125.0,1238421001100.0
8,normal,23,15958.0,1238421006142.0,1238421022100.0
8,normal,24,7934.0,1238421027166.0,1238421035100.0
8,normal,25,5934.0,1238421040166.0,1238421046100.0
8,normal,26,7934.0,1238421051166.0,1238421059100.0
8,normal,27,4799.0,1238421064200.0,1238421068999.0
8,normal,28,7767.0,1238421073333.0,1238421081100.0
8,normal,29,6934.0,1238421086166.0,1238421093100.0
8,normal,30,8857.0,1238421098142.0,1238421106999.0
8,normal,31,6850.0,1238421111250.0,1238421118100.0
8,normal,32,11600.0,1238421123500.0,1238421135100.0
8,normal,33,12857.0,1238421140142.0,1238421152999.0
8,normal,34,12767.0,1238421157333.0,1238421170100.0
8,normal,35,17767.0,1238421175333.0,1238421193100.0
8,normal,36,17934.0,1238421198166.0,1238421216100.0
8,normal,37,7000.0,1238421221100.0,1238421228100.0
8,normal,38,15749.0,1238421233250.0,1238421248999.0
8,normal,39,8850.0,1238421253250.0,1238421262100.0
8,normal,40,9799.0,1238421267200.0,1238421276999.0
8,normal,41,7767.0,1238421281333.0,1238421289100.0
8,normal,42,11958.0,1238421294142.0,1238421306100.0
8,normal,43,23000.0,1238421311100.0,1238421334100.0
8,normal,44,18958.0,1238421339142.0,1238421358100.0
8,normal,45,12000.0,1238421363100.0,1238421375100.0
8,normal,46,12767.0,1238421380333.0,1238421393100.0
8,normal,47,7767.0,1238421398333.0,1238421406100.0
8,normal,48,15900.0,1238421411200.0,1238421427100.0
8,normal,49,12900.0,1238421432200.0,1238421445100.0
8,normal,50,12600.0,1238421450500.0,1238421463100.0
8,normal,51,7900.0,1238421468200.0,1238421476100.0
8,normal,52,19958.0,1238421481142.0,1238421501100.0
9,modified,1,5975.0,1238423880125.0,1238423886100.0
9,modified,2,26958.0,1238423891142.0,1238423918100.0
9,modified,3,11934.0,1238423923166.0,1238423935100.0
9,modified,4,22899.0,1238423940100.0,1238423962999.0
9,modified,5,33499.0,1238423967500.0,1238424000999.0
9,modified,6,54767.0,1238424005333.0,1238424060100.0
9,modified,7,18975.0,1238424066125.0,1238424085100.0
