"Pair","Condtion","Game","X","Y","Z","Role","Success","Target","Introducer","Succ_Introducer","Participant","Zdif","Xdif","Zratio","Xratio"
16,"modified",26,0.000766389140751887,0.000570651340494885,0.00049173333829306,"matcher",0,"luck",0,0,16,0.0126675441861155,0.0180820748209953,0.700558111362704,1.42743333319606
16,"modified",27,0.310725007322489,0.231461147518738,0.0534919011142061,"director",1,"war",0,0,16,2.56385532300919,9.24620013684034,0.277287457016405,3.60636579367828
16,"modified",28,0.00101194403537158,0.00152594122289511,0.000721466909707727,"matcher",1,"fear",0,0,16,0.014370106160641,0.0218381881713869,0.658026483143374,1.5196956742881
16,"modified",29,0.0940798717885434,0.233442065695574,0.159421330207802,"director",1,"strength",1,1,16,5.56132683577016,2.1817619651556,2.54900714403715,0.392309610563189
16,"modified",30,0.00143023900588145,0.00114526951675931,0.00169150067912493,"matcher",0,"strength",0,0,16,0.0329865068197251,0.0351193547248836,0.939268590728196,1.06465819241834
16,"modified",31,0.154435717821558,0.292767734674989,0.0501287321796022,"director",1,"reality",0,0,16,0.685280278325081,2.71889828145504,0.252043367344492,3.96757117846788
16,"modified",32,0.000679570849437493,0.000598534844143496,0.00032087556842046,"matcher",1,"luxury",0,0,16,0.00819023698568359,0.0136174932122231,0.601449683729751,1.66264947351661
16,"modified",33,0.0463807997704671,0.40695539787532,0.15080006554894,"director",1,"freedom",0,0,16,1.00181599706411,0.933006174862384,1.07375066109491,0.931314909720566
16,"modified",34,0.00152034277983827,0.000499811688789548,0.000597377545291056,"matcher",1,"war",0,0,16,0.0216228663921356,0.0275434851646419,0.785044676186924,1.27381285464815
16,"modified",35,0.158875680703546,0.286973784921062,0.0326759003227214,"director",0,"luxury",1,0,16,0.91000135242939,2.24749851226807,0.404895196798623,2.46977491436471
16,"modified",36,0.00159399810670295,0.00104462811323598,0.000692295324628093,"matcher",1,"reality",0,0,16,0.0172622576355932,0.0253592878580094,0.680707507728423,1.4690597483449
16,"modified",37,0.106152256336898,0.218662589738126,0.0484251533381295,"director",0,"luck",1,0,16,1.69165087491274,4.63937501236796,0.364629043869707,2.74251329347569
16,"modified",38,0.00339664506550696,0.0171327310754638,0.00550905322075711,"matcher",0,"luck",0,0,16,0.0330002531409263,0.0455178022384647,0.724996628089384,1.37931675990735
16,"modified",39,0.311316371129125,0.247486048909463,0.0540566575354491,"director",1,"war",0,0,16,0.848603941500187,3.64476939477026,0.232827882805923,4.2950182252594
16,"modified",40,0.000571900267389286,0.000634605663784473,0.000559649886344298,"matcher",1,"luxury",0,0,16,0.00788091868162122,0.0128237754106519,0.614555263894833,1.62719296172383
16,"modified",41,0.0419479695170539,0.277820744381296,0.037718651543701,"director",1,"envy",0,0,16,1.12816185504198,1.20773507747799,0.934113677809063,1.07053351616205
16,"modified",42,0.000623408592598143,0.000558278593146051,0.000302475057596637,"matcher",0,"reality",0,0,16,0.00774540007114385,0.0107881203293803,0.717956403401444,1.39284223284635
16,"modified",43,0.0269146281953489,0.265204514906401,0.0231980597668636,"director",1,"envy",0,0,16,0.416213549673557,0.420930780470371,0.988793333688872,1.01133367907055
16,"modified",44,0.00815623332759925,0.0106657907553039,0.0219166628552373,"matcher",0,"war",0,0,16,0.112933047115803,0.0899828001856809,1.25505148631476,0.796780061140222
16,"modified",45,0.19410856538002,0.279773861347489,0.0645171107156649,"director",0,"luck",0,0,16,1.69811645895243,6.99953123531304,0.242604311898107,4.12193827956363
16,"modified",46,0.000689597961440246,0.000486881146755812,0.00044373971566114,"matcher",1,"reality",0,0,16,0.00854228436946845,0.0110932439565655,0.7700438575871,1.29862733160869
16,"modified",47,0.125111974196211,0.185540240773206,0.0330642791123661,"director",1,"anger",0,0,16,1.55160802602768,4.90164674818516,0.316548316461639,3.15907540175209
